Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
GPAR3   50.00   -5.43      5.48    2138.410   0.00    5.242      18.65      865.11     21.20       825.19      751.14  2.4718      -394.091    30.83   0.008       -1.0098 750.00 
SEER3   6.42    -5.19      0.69    0.461      0.00    0.241      10.17      4.15       -0.55       6.78        3.13    0.111       -0.0888     1.13    0.0621      -0.1322 8236610.00
TLCP3   48.00   -5.02      1.76    0.824      0.00    0.533      -2.76      -26.61     -1.33       -43.86      -43.86  -0.031      -0.164      0.61    -0.0252     -0.3504 0.00   
LFFE4   3.89    -4.91      4.08    0.000      0.00    3.599      0.00       -26.50     0.00        -23.11      10.90   0.00        0.00        0.00    0.00        -0.831 0.00   
CGOS3   26.20   -4.85      1.89    0.509      0.00    0.167      -0.83      -256.60    -0.25       -570.29     -570.29 -0.002      -0.1048     0.54    -0.0008     -0.3902 0.00   
TCNO4   0.85    -4.82      -5.95   0.000      0.00    0.024      -0.06      -2.04      -0.03       -14.27      -16.48  0.00        0.00        0.28    -0.0159     1.2336 0.00   
AALR3   10.25   -4.61      1.19    1.051      0.00    0.441      -5.42      56.83      -1.12       92.30       14.24   0.0185      -0.221      0.74    0.0091      -0.2592 946085.00
MRFG3   10.40   -4.48      1.58    0.071      0.0619  0.072      1.00       11.49      -0.18       49.61       5.50    0.0062      -0.0397     1.22    0.0091      -0.3529 78855900.00
PRML3   11.52   -4.41      1.98    18.612     0.00    0.581      23.00      -30.33     -0.93       -63.15      1640.31 -0.6136     -4.2499     2.02    -0.0196     -0.4484 0.00   
ADHM3   1.56    -4.09      -1.29   770.924    0.00    105.126    -1.43      -5.69      -1.27       -5.69       -5.81   -135.485    -188.606    0.00    5.217       0.3147 2064.00
KRSA3   1.12    -4.08      0.85    0.388      0.00    0.182      1.31       3.39       -0.38       12.08       7.32    0.1146      -0.0885     1.92    0.0613      -0.2093 1090540.00
BUET4   18.49   -4.04      -0.72   1.451      0.00    0.423      -0.50      -9.72      -0.29       -19.18      -30.83  -0.1493     -0.3593     0.11    -0.0595     0.1779 0.00   
